kata,arti,kelas_kata
aduh,-,-
aduhai,-,-
aduk,-,-
aduk-aduk,-,-
aduk-adukan,-,-
adukan,-,-
aduksi,-,-
aduktor,-,-
adum,-,-
adumla,-,-
adun,-,-
adun temadun,"indah-indah, berjenis-jenis warnanya",
adunan,-,-
adung,-,-
adur,-,-
adusen,-,-
adutan,-,-
advantam,-,-
adveksi,-,-
adven,-,-
Adven Hari Ketujuh,→ adven,
adventif,-,-
adventisia,-,-
adventisius,-,-
adverbia,-,-
adverbial,-,-
advertensi,-,-
advertorial,-,-
advis,-,-
advis debit,-,-
advis kredit,-,-
advisor,-,-
advisori,-,-
advokasi,-,-
advokasi lingkungan,-,-
advokat,-,-
advokat litigasi,orang yang berprofesi memberikan jasa hukum di dalam sidang pengadilan,
adwaita brahmajnyana,-,-
a.dzab,→ azab,
a.dzan,→ azan,
aek ni unte,-,-
aelotropik,-,-
aem,-,-
aemono,-,-
aeni,-,-
aeolian,-,-
aeolus,-,-
aerasi,-,-
aerasi baur,"proses pemasukan udara atau oksigen ke dalam limbah yang akan diolah dengan cara pembauran (difusi), udara dibiarkan membaur (melarut) dalam cairan limbah lewat permukaan cairan yang dangkal",
aerator,-,-
aerial,-,-
aerial bidikan,-,-
aero,-,-
aero-,-,-
aerob,-,-
aerobatik,-,-
aerobik,-,-
aerobika,-,-
aerobiologi,-,-
aerobioskop,-,-
aerodinamik,-,-
aerodinamika,-,-
aerodinamis,-,-
aerodine,-,-
aerofiarologi,-,-
aerofisika,-,-
aerofisiologi,-,-
aerofobia,-,-
aerofon,-,-
aerograf,-,-
aerogram,-,-
aerokori,-,-
aerolit,-,-
aerologi,-,-
aerologis,-,-
aeromagnetik,-,-
aeromekanika,-,-
aerometer,-,-
aeromonas,-,-
aeromorfosis,-,-
aeromovel,-,-
aeronausifobia,-,-
aeronaut,-,-
aeronautika,-,-
aeronautikal,-,-
aeronomi,-,-
aeroplankton,-,-
aeropolis,-,-
aeroponik,-,-
aerosista,-,-
aeroskop,-,-
aerosol,-,-
aerosolisasi,-,-
aerostat,-,-
aerostatika,-,-
aerotaksis,-,-
aeroterapi,-,-
aerotoleran,-,-
aerotonometer,-,-
aerotropisme,-,-
aerotropolis,-,-
aes marnam,-,-
aesi,-,-
a.es.te.ti.ka,→ estetika,
a.e.ti.o.lo.gi,→ etiologi,
af,-,-
afa,-,-
afafar,-,-
afaftema,-,-
afagia,-,-
afagosis,-,-
afair,-,-
afakia,-,-
afal,-,-
afanisme,-,-
afanitik,-,-
afanoplasmodium,-,-
afantobion,-,-
afara,-,-
afasia,-,-
afasia amnesia,-,-
afasia anomik,-,-
afasia anterior,-,-
afasia ekspresif,-,-
afasia global,-,-
afasia motoris,afasia yang menyebabkan penderita tidak mampu berbicara,
afasia nominal,-,-
afasia posterior,-,-
afasia sensoris,afasia yang menyebabkan penderita tidak dapat mengerti pembicaraan orang lain,
afasiologi,-,-
afdal,-,-
afdeling,-,-
af.dol,→ afdal,
afdruk,-,-
afei rarom,-,-
afek,-,-
afek mengambang,-,-
afeksi,-,-
afektif,-,-
a.fek.ti.fi.tas,→ afektivitas,
afektivitas,-,-
afektivitas negatif,"afektivitas yang bersifat negatif, seperti cemas, marah, rasa bersalah, atau kesedihan",
afektivitas positif,-,-
aferen,-,-
aferesis,-,-
a.fe.sis,→ aferesis,
afetuoso,-,-
affaire de coeur,-,-
affaire d’amour,-,-
affaire d’honneur,-,-
afgani,-,-
afganistan,-,-
afian,-,-
afiat,-,-
afibrinogenemia,-,-
afidavit,-,-
afidikola,-,-
afidivor,-,-
afifar,-,-
afiks,-,-
afiks homofon,"afiks yang wujud atau bunyinya sama, tetapi merupakan dua morfem atau lebih yang berbeda, misalnya se- pada setiba, seratus, sebesar",
afiks terbuka,afiks yang hasil penerapannya masih dapat memperoleh afiks lain,
afiks tertutup,afiks yang hasil penerapannya tidak dapat dibubuhi afiks lain,
afiksasi,-,-
afiliasi,-,-
afiliator,-,-
afinitas,-,-
afinitas elektron,tenaga yang terbebaskan apabila satu elektron terikat (menempel) pada atom atau molekul,
afinitas kladistika,-,-
afinitas mutlak,-,-
afinitas patristik,-,-
afirmasi,-,-
afirmatif,-,-
afitik,-,-
afk,-,-
afkir,-,-
afkiran,-,-
afkofor,-,-
aflatoksin,-,-
afluks,-,-
afogato,-,-
afoka,-,-
afonia,-,-
afore,-,-
aforefe,-,-
aforestasi,-,-
aforisme,-,-
afotik,-,-
afototropisme,-,-
afrasia,-,-
afrika,-,-
Afrika Selatan,"negara di Afrika bagian selatan yang memiliki tiga ibu kota, yaitu Pretoria (administratif), Cape Town (legislatif), dan Bloemfontein (yudikatif)",
Afrika Tengah,"negara di Afrika bagian tengah, beribu kota Bangui",
afrikans,-,-
afrikat,-,-
afrit,-,-
afrodisiak,-,-
afspraak,-,-
afsun,-,-
aftab,-,-
aftovirus,-,-
aftufin,-,-
a.fu.ah,→ afwah,
afui,-,-
afwah,-,-
afwan,-,-
afyauf,-,-
ag,-,-
aga,-,-
agad,-,-
agadi,-,-
agah,-,-
agahan,-,-
agai,-,-
againe,-,-
agak,-,-
agak-agak,-,-
agak-agih,-,-
agaknya,-,-
agal,-,-
agalaksia,-,-
agam,-,-
agama,-,-
agama abrahamik,agama samawi,
agama budaya,agama wadi,
agama darmik,agama yang berasal dari Anak Benua Asia (seperti Hindu dan Buddha),
agama impor,"agama yang berasal dari luar negeri, agama pendatang",
agama langit,agama samawi,
agama rahmat,agama yang senantiasa membawa semangat belas kasih (kasih sayang),
agama samawi,"agama yang bersumberkan wahyu Tuhan, seperti agama Islam dan Kristen, agama abrahamik, agama langit",
agama timur,"agama yang berasal dari bagian timur dunia (Hindu, Buddha, dan sebagainya)",
agama wadi,"agama yang merupakan hasil ciptaan akal dan perilaku manusia, agama budaya",
agamais,-,-
agamaisme,-,-
agamandroesis,-,-
a.ga.ma.ni,→ agamawi,
agamawan,-,-
agamawi,-,-
agamen,-,-
agameon,-,-
agamet,-,-
agami,-,-
agamis,-,-
agamobium,-,-
agamodem,-,-
agamogenesis,-,-
agamoginoesis,-,-
agamogoni,-,-
agamohermafrodit,-,-
agamon,-,-
agamospermi,-,-
agamotrop,-,-
agan,-,-
aganta,-,-
agape,-,-
agar,-,-
agar-agar,-,-
agar-agar darah,-,-
agarikola,-,-
agarosa,-,-
agas,-,-
agastya,-,-
agau,-,-
agdaga,-,-
age,-,-
agega,-,-
ageisme,-,-
a.gel,→ agal (1),
agem,-,-
ageman,-,-
agen,-,-
agen aerasi,"zat yang memungkinkan gelembung-gelembung kecil gas tersebar secara merata dalam makanan cair atau padat, misalnya CO₂",
agen anabolik,-,-
agen asuransi,"wakil perusahaan asuransi yang mencari, mengumpulkan, dan melayani pemegang polis",
agen bebas,atlet profesional yang bebas untuk menandatangani kontrak dengan klub mana pun,
agen buku,"pedagang buku besar yang menyediakan berbagai jenis buku dari berbagai penerbit, pengecer, dan perpustakaan, biasanya ada dua jenis, yaitu yang menyediakan buku teks mutakhir dan buku teknik dan yang menyediakan buku lama yang masih beredar",
agen elektronik,-,-
agen federal,anggota badan penyelidik Amerika Serikat,
agen ganda,"mata-mata yang dipekerjakan oleh dua negara, perusahaan, dan sebagainya yang saling bermusuhan",
agen kargo,agen yang mengurus pemuatan barang yang diangkut dengan kapal laut atau pengangkut lain,
agen kemoterapi,-,-
agen klaim,-,-
agen muatan,agen kargo,
agen mutagen,-,-
agen pabrik,-,-
agen pelawatan,"agen yang mengatur dan merundingkan jadwal penerbangan, perjalanan dan sebagainya untuk para pelancong, agen perjalanan wisata",
agen pemain,orang (badan) yang bertugas mencari pemain untuk bermain drama dan sebagainya,
agen pembaruan,"orang atau lembaga yang mendorong terciptanya perubahan sosial ekonomi secara berencana (seperti penyuluh pertanian, guru)",
agen pembasah,-,-
agen pembayar,-,-
agen pembayaran pembantu,-,-
agen pembelian,-,-
agen pemoliploid,-,-
agen pengarang,"orang yang mewakili pengarang dalam hal urusan penjualan dan penerbitan karyanya dengan penerbit buku, dan merundingkan hak tambahan untuk penerbitan, penyiaran, dan pembuatan film",
agen pengelat,bahan kimia untuk mengisolasi atau memisahkan logam,
agen pengemulsi,-,-
agen pengguna,-,-
agen penjamin,-,-
agen penjualan,-,-
agen penyalur,agen atau perwakilan yang bertanggung jawab atas penyaluran atau distribusi awal suatu barang,
agen perawat,-,-
agen perjalanan,agen perjalanan wisata,
agen perjalanan wisata,"orang atau badan yang melakukan penjualan dan pengaturan transportasi, akomodasi, wisata, dan perjalanan untuk pelancong atau wisatawan",
agen polisi,polisi penjaga keamanan,
agen properti,"orang atau wakil perusahaan yang bertugas mengatur atau menjembatani penjualan atau penyewaan properti, seperti rumah, tanah,  dan apartemen",
agen publisitas,-,-
agen rahasia,seseorang yang ditugasi oleh orang atau negara tertentu untuk memata-matai dan menyelidiki pihak lawan agar memperoleh informasi yang diperlukan,
agen resmi,"agen yang secara resmi ditunjuk perusahaan untuk melakukan pelayanan, penjualan, dan menerima pengaduan pelanggan",
agen siasat,"mata-mata, penyelidik",
agen sitotastik,-,-
agen tunggal,-,-
agen tunggal pemegang merek,-,-
agen utama pembayaran,-,-
agen wol,perwakilan penjual wol,
agenda,-,-
agenda politik,isu-isu politik atau kebijakan yang menjadi perhatian serius,
agenda utama,acara atau tema pokok,
agenesis,-,-
agens,-,-
agensi,-,-
agentif,-,-
ager,-,-
ageusia,-,-
aggiornamento,-,-
aght,-,-
agi,-,-
agie,-,-
agih,-,-
agih tagan,-,-
agih-agih kungkang,terlampau murah hati sehingga menderita kesusahan,
agihan,-,-
agil,-,-
agio,-,-
agio dividen,-,-
agio obligasi,-,-
agio saham,-,-
agiria,-,-
agirofobia,-,-
agit,-,-
agitasi,-,-
agitatif,-,-
agitator,-,-
agium,-,-
aglaf,-,-
aglaonema,-,-
aglet,-,-
aglikon,-,-
agliofobia,-,-
aglomerasi,-,-
aglomerat,-,-
ag.lo.ne.ma,→ aglaonema,
aglutinasi,-,-
aglutinat,-,-
aglutinatif,-,-
aglutinin,-,-
aglutinogen,-,-
agmaman,-,-
agmatoploid,-,-
agnatus,-,-
agni,-,-
agnihotra,-,-
agnosia,-,-
agnosterol,-,-
agnostik,-,-
agnostisisme,-,-
agnus dei,-,-
agnyana,-,-
ago,-,-
agogo,-,-
agoh,-,-
agok,-,-
agometer,-,-
agon,-,-
agonan,-,-
agoni,-,-
agonia,-,-
agonis,-,-
agonisis,-,-
agonistik,-,-
agorafobia,-,-
agouti,-,-
agr.,-,-
agrad,-,-
agradasi,-,-
agrafia,-,-
agrafobia,-,-
agramatisme,-,-
agranulosit,-,-
agraria,-,-
agraris,-,-
agregasi,-,-
agregat,-,-
agregat kering,-,-
agregat tanah,-,-
agregatif,-,-
agresi,-,-
agresi altruistis,-,-
agresi benci,-,-
agresi instrumental,-,-
agresi iritasi,-,-
agresi kasih ibu,-,-
agresi langsung,-,-
Agresi Militer Belanda I,operasi militer Belanda di Jawa dan Sumatra pada 1947 untuk mempertahankan penafsiran penjajah Belanda atas hasil Perundingan Linggarjati,
Agresi Militer Belanda II,penyerbuan ke Indonesia oleh tentara penjajah Belanda dengan menyerang Yogyakarta yang merupakan ibu kota negara saat itu pada 1948,
agresi operan,-,-
agresi permusuhan,-,-
agresi teralih,-,-
agresif,-,-
agresif ofensif,"bersifat maju dan menyerang dalam suatu kegiatan (ekonomi, politik, olahraga, dan sebagainya)",
ag.re.si.fi.tas,→ agresivitas,
agresivitas,-,-
agresor,-,-
agrestal,-,-
agrian,-,-
ag.ri.bis.nis,→ agrobisnis,
agrikultur,-,-
agrin,-,-
agriologi,-,-
agriotipe,-,-
agripnia,-,-
agrisilvikultur,-,-
agriterorisme,-,-
agrium,-,-
agrizoofobia,-,-
agrobiologi,-,-
agrobis,-,-
agrobisnis,-,-
agrobisnis pergulaan,agrobisnis yang berhubungan dengan gula,
agroekologi,-,-
agroekonomi,-,-
agroekonomis,-,-
agroekosistem,-,-
agroekotipe,-,-
agrofili,-,-
agrofit,-,-
agroforestri,-,-
agrogeologi,-,-
agrohidrologi,-,-
agroikos,-,-
agroindustri,-,-
agroinput,-,-
agrokimia,-,-
agroklimatologi,-,-
agrokompleks,-,-
agrologi,-,-
agromania,-,-
agrometeorologi,-,-
agronom,-,-
agronomi,-,-
agronomik,-,-
agronomis,-,-
agropangan,-,-
agropolis,-,-
agropolitan,-,-
agrostologi,-,-
agroteknologi,-,-
agroterorisme,-,-
agrotipe,-,-
agrowisata,-,-
agu,-,-
aguk,-,-
agul,-,-
agun,-,-
agunan,-,-
agung,-,-
agus,-,-
agustinianisme,-,-
agustus,-,-
agustusan,-,-
agut,-,-
agut-agut,-,-
ah,-,-
aha,-,-
ahad,-,-
ahadiat,-,-
ahai,-,-
ahakore,-,-
ahanawan,-,-
ahang,-,-
ahare,-,-
ahas,-,-
ahasale,-,-
ahau,-,-
ahaun,-,-
ahe,-,-
a.he.rat,→ akhirat,
ahermatipe,-,-
ahet,-,-
ahi,-,-
ahi matan,-,-
ahido,-,-
ahilognosia,-,-
ahiloso,-,-
ahimsa,-,-
ahin,-,-
ahing,-,-
a.hir,→ akhir,
a.hi.rat,→ akhirat,
ahire,-,-
ahistoris,-,-
ahit,-,-
ahkam,-,-
ahkana,-,-
ahlah,-,-
ah.lak,→ akhlak,
ahli,-,-
ahli agama,"orang yang mendalami ilmu agama dan ketuhanan, ulama, alim",
ahli bahasa,"orang yang mahir dalam pengetahuan bahasa, bahasawan",
ahli bait,"sanak keluarga serumah, kerabat terdekat",
ahli bedah,dokter ahli dalam hal membedah (operasi),
ahli bumi,orang yang ahli dalam pengetahuan tanah,
ahli famili,sanak saudara,
ahli filsafat,"orang yang memiliki kemampuan pengetahuan dan penyelidikan dengan akal budi mengenai hakikat segala yang ada, sebab, asal, dan hukumnya, filsuf",
ahli fisika,"orang yang ahli dalam bidang fisika, fisikawan",
ahli fitopatologi,orang yang ahli dalam bidang ilmu penyakit tumbuh-tumbuhan,
ahli gempa,ahli seismologi,
ahli geofisika,orang yang ahli dalam menentukan ciri fisik bumi dengan menggunakan metode fisika kuantitatif,
ahli geologi,"orang yang ahli dalam menafsirkan struktur, asal mula, dan perkembangan bumi serta isinya",
ahli geologi minyak,ahli geologi yang bekerja dalam kegiatan eksplorasi atau produksi minyak dan gas bumi,
ahli ginekologi,ginekolog,
ahli gizi industri,ahli gizi yang bekerja pada industri pangan dan memberikan informasi gizi tentang pengembangan produk pangan baru,
ahli gizi kesehatan publik,ahli gizi yang bergiat untuk memperbaiki keadaan gizi dan kesehatan masyarakat,
ahli gizi olahraga,-,-
ahli hadis,orang yang ahli dalam seluk-beluk hadis,
ahli hadis,"orang yang berpegang pada hadis, pemegang hadis",
ahli hukum,orang yang mahir dalam ilmu hukum,
ahli ibadah,orang yang taat menjalankan kewajiban agama (Islam dan sebagainya),
ahli ilmu racun,orang yang mahir dalam pembuatan racun dan penawarnya,
ahli informasi,"petugas informasi yang memiliki keahlian tertentu dan mampu mengelola perpustakaan ilmiah, penekanan tugasnya lebih diutamakan pada keahlian dalam pemberian jasa informasi daripada pengetahuan tentang suatu ilmu",
ahli kitab,orang-orang yang berpegang pada ajaran kitab suci selain Al-Qur'an,
ahli kubur,"orang-orang yang telah meninggal, penghuni kubur",
ahli kulit,dokter yang menangani penyakit dan perawatan kulit,
ahli madya,tingkatan yang dicapai oleh seseorang yang telah menyelesaikan program diploma III di perguruan tinggi,
ahli maksiat,"orang yang gemar melakukan perbuatan yang tercela, buruk, dan sebagainya",
ahli matematika,"orang yang ahli dalam bidang matematika, matematikawan",
ahli media,seseorang yang memiliki pengetahuan yang luas dalam media pendidikan,
ahli mesin kapal,-,-
ahli mikologi,orang yang ahli dalam bidang cendawan,
ahli multimedia,orang yang menguasai bidang komunikasi perantara (perhubungan),
ahli negara,-,-
ahli nujum,"orang yang pandai meramalkan sesuatu dengan melihat bintang (zodiak), munajim",
ahli nujum,orang yang pandai meramal nasib orang dengan melihat tapak tangan dan sebagainya,
ahli obat,orang yang ahli dalam hal obat-obatan,
ahli patung,orang yang ahli dalam membuat patung,
ahli peneliti madya,"pangkat peneliti golongan IV/d, satu tingkat di bawah ahli peneliti utama, satu tingkat di atas ahli peneliti muda, setaraf dengan pembina utama madya dalam kepangkatan struktural pegawai negeri sipil",
ahli peneliti muda,"pangkat peneliti golongan IV/c, satu tingkat di bawah ahli peneliti madya, satu tingkat di atas peneliti madya, setaraf dengan pembina utama muda dalam kepangkatan struktural pegawai negeri sipil",
ahli peneliti utama,"pangkat peneliti yang tertinggi golongan IV/e, satu tingkat di atas ahli peneliti madya, setaraf dengan pembina utama dalam kepangkatan struktural pegawai negeri sipil",
ahli peserta,pemegang saham,
ahli pikir,ahli filsafat,
ahli purbakala,orang yang ahli dalam bidang ilmu sejarah dan benda purbakala,
ahli rumah,keluarga seisi rumah,
ahli seismologi,"orang yang ahli dalam cabang ilmu tentang getaran bumi, baik yang disebabkan oleh alam maupun buatan, ahli gempa",
ahli sejarah,orang yang paham dalam ilmu sejarah,
ahli siar,orang yang bekerja pada industri penyiaran,
ahli sihir,"orang yang memiliki dan menguasai ilmu sihir, juru teluh",
ahli statistik,-,-
ahli sufah,orang yang turut hijrah bersama Nabi Muhammad saw. dari Makkah ke Madinah dengan membawa harta seadanya dalam keadaan serba kurang,
ahli sufi,"ahli tasawuf, ahli suluk",
ahli suluk,orang yang menganut dan melaksanakan tarekat tertentu untuk mendekatkan diri kepada Tuhan,
ahli sunah,kaum muslimin yang mengikuti ajaran Nabi Muhammad saw.,
ahli sunah waljamaah,"kaum muslimin yang mengikuti ajaran Al-Qur'an, hadis Nabi Muhammad saw., dan menerima ijmak ulama",
ahli tafsir,orang yang ahli dalam menerangkan maksud ayat-ayat Al-Qur'an,
ahli tarekat,ahli suluk,
ahli tarikh,ahli sejarah,
ahli tasawuf,orang yang mahir dalam ilmu tasawuf,
ahli tasawuf,orang yang menganut dan melaksanakan tasawuf,
ahli taurat,-,-
ahli tetas,orang yang mempunyai keahlian dalam bidang penetasan telur,
ahli waris,orang yang berhak menerima warisan (harta pusaka),
ah.lil.ki.tab,→ ahlulkitab,
ahlul-ḥall wal-’aqd,-,-
ahlulbait,-,-
ahlulkitab,-,-
ahlulkubur,-,-
ahlunujum,-,-
ahlusuluk,-,-
ahlusunah,-,-
ahlusunah waljamaah,ahli sunah waljamaah,
ahmak,-,-
ahmar,-,-
ahmer,-,-
aho,-,-
ahoi,-,-
ahola,-,-
ahori,-,-
ahosi kamma,-,-
ahsan,-,-
ahudu,-,-
ahuh,-,-
ahuite,-,-
ahum,-,-
ahuneyo,-,-
ahuni,-,-
ahutu,-,-
ahwal,-,-
ai,-,-
aib,-,-
aibinan,-,-
aibohfobia,-,-
aide de camp,-,-
aide-mémoire,-,-
aids,-,-
aigialium,-,-
aigialofili,-,-
aigiolokola,-,-
a.ih,→ ai (1),
aihoi,-,-
aikido,-,-
aikidoka,-,-
aikmofobia,-,-
aikwakai,-,-
ail,-,-
aila,-,-
ailakua,-,-
aileron,-,-
ailurofili,-,-
ailurofilia,-,-
ailurofobia,-,-
aimala,-,-
aimara,-,-
aimatatuli,-,-
aimitin,-,-
ain,-,-
ainpati,-,-
ainulbanat,-,-
ainulyakin,-,-
ainunjariah,-,-
aipda,-,-
air,-,-
air abu,air yang mengandung zat abu,
air abu,"bahan pengawet atau pengenyal yang dibuat dari merang atau kelaras yang dibakar hingga menjadi abu, direndam air bersih selama 2―3 hari, dan diambil airnya, biasa digunakan sebagai bahan pembuat mi, lontong, ketupat, dan sebagainya",
air abu-abu,air kelabu,
air adas,-,-
air adhesif,-,-
air adsorpsi,-,-
air aerial,-,-
air agresif,-,-
air aki,-,-
air alam,"air yang terdapat dalam alam, baik dalam atmosfer, dalam laut dengan kandungan garam yang tinggi, air permukaan yang tawar, seperti sungai dan danau, maupun air tanah",
air alami,"air yang berasal dari alam, biasanya mengandung mineral tertentu",
air alas,air masin,
air alas,air yang diletakkan pada tatakan untuk menghalau semut naik ke gelas,
air alkali,-,-
air ampai,air bawah tanah yang menempati lajur pengudaraan,
air ampuh,air bah,
air anaerob,-,-
air anggur,minuman yang dibuat dari buah anggur,
air api,"zat cair yang mudah menyala, seperti asam nitrat",
air aromatik,"larutan jenuh minyak asiri dalam air, cairannya jernih atau keruh, bau dan rasanya sama dengan minyak asiri",
air artesis,air bawah permukaan dengan tekanan yang cukup kuat untuk menyebabkan air tersebut naik ke atas dasar suatu celah atau lubang lain,
air arwah,air yang disediakan dalam kenduri arwah,
air asam,-,-
air asin,air dengan salinitas yang lebih dari 40 per mil,
air asli,-,-
air atar,"minyak wangi, minyak atar",
air awamineral,-,-
air babak,air hasil rebusan berbagai macam rempah yang digunakan untuk ibu yang selesai melahirkan,
air bah,banjir,
air bakat,air yang berolak (berkisar),
air baku,"air yang berasal dari sumber air permukaan, cekungan air tanah, atau air hujan yang memenuhi baku mutu tertentu sebagai air minum",
air balas,-,-
air bawaan,-,-
air bawah permukaan,semua air yang terdapat di bawah permukaan tanah,
air bawah tanah,"air yang berada cukup jauh dari permukaan tanah, air tanah",
air bebas,-,-
air bebas mineral,-,-
air beku,es,
air belanda,"minuman terbuat dari air yang mengandung gas karbon (dioksida), air soda",
air bena,air pasang,
air beras,air dari pencucian beras,
air berat,-,-
air bergerak,"air (di daratan) yang dengan tetap mengalir ke jurusan tertentu, air mengalir",
air beriak tanda tak dalam,orang yang banyak cakap (sombong dan sebagainya) biasanya kurang ilmunya,
air beriak tanda tak dalam,orang yang banyak cakap (sombong dan sebagainya) biasanya kurang ilmunya,
air bermineral,-,-
air bersih,air tawar yang memenuhi syarat kesehatan,
air besar,"banjir, bah, pasang",
"air besar, batu bersibak",persaudaraan (keluarga) menjadi cerai-berai apabila terjadi perselisihan,
air biofilter,air yang dihasilkan melalui proses biofilter,
air biru,air yang berwarna biru karena sudah dicampur dengan belau,
air boron,-,-
air bumi,air tanah,
air celah,-,-
air comberan,air kotor yang ada di comberan atau saluran pembuangan,
air cucuran atap jatuh ke pelimbahan juga,biasanya sifat anak menurut teladan orang tuanya,
air curah,air mentah yang belum diolah,
air dadih,air susu (sapi) setelah bagian kentalnya diambil,
air demineralisasi,-,-
air di daun keladi (daun keladi dimandikan),sukar diajar atau dinasihati,
air diam,air yang tergenang atau air yang bergerak dengan aliran tidak tentu,
air didih,-,-
"air diminum rasa duri, nasi dimakan rasa sekam",tidak enak makan dan minum (karena terlalu sedih dan sebagainya),
air doa,air yang sudah diberi doa (mantra),
air ekstraseluler,-,-
air emas,"metal cairan logam berwarna keemasan untuk melapisi perhiasan, benda seni atau benda lain agar tampak lebih indah, lapis emas, tinta emas",
air emas,benang emas,
air es,air dingin dari lemari es,
air fosil,-,-
air freatik,-,-
